report,source,authored_at,author,status,incident_title,incident_category,important,place_name,note
NPP Chair Jake says provisional results announced are tainted.@ghanaelections@GhanaDecides,Twitter,12/9/2012 14:23,Lamisi_d,,,,,,
NPP calls for proper audit of the election results before official announcement @ghanaelections@GhanaDecides,Twitter,12/9/2012 14:24,Lamisi_d,,,,,,
We call on Ghana to remain calm until proper audit of the results - NPP #ghanaelections,Twitter,12/9/2012 14:25,ghanaelections,,,,,,
We call on the EC not to release any official results until these serious problems have been addressed - NPP #ghanaelections,Twitter,12/9/2012 14:26,ghanaelections,,,,,,
NPP addresses press confab on election results@ghanaelections @GhanaDecides,Twitter,12/9/2012 14:27,Lamisi_d,,,,,,
The NPP has credible evidence which undermines the electoral process - NPP Chairman #ghanadecides #ghanaelections,Twitter,12/9/2012 14:28,omgGhanaDotCom,,,,,,
"In Savalungu JohnDramaniMahama  had (21,155 votes), but (31,165) was declared for him - NPP Chairman #ghanadecides #ghanaelections",Twitter,12/9/2012 14:31,omgGhanaDotCom,,,,,,
What our people will not accept is any attempt by JohnDramaniMahama to manipulate the election results - Sir John  #ghanadecides #ghanaelections,Twitter,12/9/2012 14:33,omgGhanaDotCom,,,,,,
"In Savalungu JohnDramaniMahama had (21,155 votes), but (31,165) was declared for him - NPP Chairman #ghanadecides #ghanaelections""",Twitter,12/9/2012 14:32,lilbenjy,,,,,,
"In Savalungu JohnDramaniMahama had (21,155 votes), but (31,165) was declared for him - NPP Chairman #ghanadecides #ghanaelections",Twitter,12/9/2012 14:34,anangfio,,,,,,
Crabbe says that PVT observers saw that 87% of polling stations were set up according to EC standards #ghanadecides,Twitter,12/9/2012 14:35,CodeoElections,,,,,,
If anything happens in the country it will be blamable on JohnDramaniMahama and the NDC - Sir John  #ghanadecides #ghanaelections,Twitter,12/9/2012 14:34,bigxghdotcom,,,,,,
JohnDramaniMahama has been conspiring with the EC officials to manipulate election results - NPP Chairman #ghanadecides #ghanaelections,Twitter,12/9/2012 14:35,omgGhanaDotCom,,,,,,
