report,source,authored_at,author,status,incident_title,incident_category,important,place_name,note,Relevant
"I'm patiently waiting for the zombie Apocalypse to happen, cause all the non weird people will die. and us wierd people will be prepared.",Twitter,12/8/12 16:51,Heathacus_Prime,,,,,,,
"@Ms_Austin #ghanaelections #ghanadecides @ghanasmtc the reports are true, will be getting the details of the incident soon.flw 4 upd8",Twitter,12/8/12 17:03,daptordarattler,,,,,,,
For presidential race in 120 constituecies NDC-51.25% NPP-47.29 source: http://t.co/5JCnjxlx #ghanaelections,Twitter,12/8/12 17:05,ghanaelections,,,,,,,
"Provisional Results: Of the 5,202,966 votes collated, from 183 constituencies,Â­ the NPP has 2660882- 51.14% and... http://t.co/VOQes1qY",Twitter,12/8/12 17:19,ramegashie,,,,,,,
Out for 140 constituencies JM = 50.31 % NanaAkufo-Addo = 48.27% Source: @Joy997FM #ghanadecides #ghanaelections 135 more to Go!,Twitter,12/8/12 17:24,Paapakwame,,,,,,,
i cant wait for this whole election fever to be over so the air waves can be clear again. #ghanadecides #ghanaelections.,Twitter,12/8/12 17:32,AtheistGhanaian,,,,,,,
Can ballots papers burning on JOY NEWS. Ablekuma North #ghanadecides,Twitter,12/8/12 17:32,Enock4seth,,,,,,,Y
i just cant imagine the sadness of a long sitting MP losing his seat. #ghanadecides #ghanaelections.,Twitter,12/8/12 17:33,AtheistGhanaian,,,,,,,
Can see ballots papers burning on JOY NEWS. Ablekuma North #ghanadecides,Twitter,12/8/12 17:34,Enock4seth,,,,,,,Y
Need 5 HINDU girls residing in the eastern region of mauritius to work as hostess 18.30 pm to 1.00 am on the... http://t.co/1VptLdwt,Twitter,12/8/12 17:36,dikshpotter,,,,,,,
"@ghanaelections According Joy fm, out of 140 constituencies results already in for the Presidential race, show NDC - 50.31%; NPP - 48.27%",Twitter,12/8/12 17:36,Ghana125,,,,,,,
Need 5 HINDU girls residing in the eastern region of mauritius to work as hostess 18.30 pm to 1.00 am on the... http://t.co/IaD6PKjv,Twitter,12/8/12 17:37,dikshpotter,,,,,,,
Hey @kevindonovan RT @uncleregis Biometric verification machines failed at some point during voting at 18% of polling stations #ghanadecides,Twitter,12/8/12 17:40,jennaburrell,,,,,,,Y
Can the folks in Ghana provide update as the results  come in. Pls keep bus the  loop #ghanaelections2012,Twitter,12/8/12 17:44,Skeledan,,,,,,,
With All de NDC strng holds frm de 3 northern regions n volta. Declared NPP stil cruisin in a 52% lead.n 2 top it ... http://t.co/44XlRvvy,Twitter,12/8/12 17:45,sowah2011,,,,,,,
CODEO observers reported that voting today was generally peaceful and largely incident free. #ghanaelections #codeo # ghanadecides,Twitter,12/8/12 17:46,CodeoElections,,,,,,,
CODEO commends EC on ensuring that eligible voters had the opportunity to exercise their right to vote. #ghanadecides #codeo #ghanaelections,Twitter,12/8/12 17:47,CodeoElections,,,,,,,
@GHANANPP we should be careful not to create unnecessary anxiety leading to official announcement #ghanaelections2012 #ghana #ghanadecides,Twitter,12/8/12 17:50,thePOEET,,,,,,,
"Paused all #ghanadecides n #Ghana elections activity to talk to 2 Ghana applying to #MIT. Cream of the crop. Smart, exposed youth.",Twitter,12/8/12 18:01,Abocco,,,,,,,
"Provisional Results: Of the 5,202,966 votes collated, from 183 constituencies,Â­ the NPP has 2660882- 51.14% and... http://t.co/G9BHLdcZ",Twitter,12/8/12 18:03,dadadanso,,,,,,,
alarming pictures on TV showing burning of ballot papers at some areas... #ghanadecides,Twitter,12/8/12 18:05,AndyonAndy,,,,,,,Y
Hon Alban Bagbin has won the Nadoli West seat #ghanadecides #ghanaelections,Twitter,12/8/12 18:06,omgGhanaDotCom,,,,,,,
"Incumbent MP for Agona West, Samuel Obodai lost his seat to the NDCâ€™s Lawyer Charles Obeng-Inkoom #ghanaelections #ghanadecides",Twitter,12/8/12 18:08,bigxghdotcom,,,,,,,
"NDC has won 59 of the 122 confirmed Parl seats results, with the NPP having 55, others had 2 @ghanaelections",Twitter,12/8/12 18:17,AfricaJerry,,,,,,,
ELECTORAL COMMISSION SAYS #GHANA INCUMBENT PRESIDENT #MAHAMA WINS ELECTION IN FIRST ROUND - REUTERS #ghanaelections #ghanadecides,Twitter,12/9/12 21:56,BateEtah,,,,,,,
"Kunchok Phelgye, a 24-year-old-monk from the Sumdo Monastery in Dzoege region of eastern Tibet passed away in his... http://t.co/C1HfvE5y",Twitter,12/8/12 18:24,DossierTibet,,,,,,,
EOM: BVM should be encouraged in district assembly elections #ghanadecides,Twitter,12/8/12 18:28,Enock4seth,,,,,,,
"RT @DossierTibet: Kunchok Phelgye, a 24-year-old-monk from the Sumdo Monastery in Dzoege region of eastern Tibet passed away in his... h ...",Twitter,12/8/12 18:29,TIBETANS,,,,,,,
Listening to ecowas verdict on the ghana elections #ghanadecides,Twitter,12/8/12 18:29,nanaflynt,,,,,,,
Trust eastern region ï‘,Twitter,12/8/12 18:32,afroweave,,,,,,,
Ballot being re-collated for the 3rd time in Ablekuma North! #ghanaelections #ghanadecides,Twitter,12/8/12 18:39,omgGhanaDotCom,,,,,,,Y
the NDC should stop stealing at yape in the northern region,Twitter,12/8/12 18:40,bashirurdin,,,,,,,
"to my fam from the northern region, big ups to you!! we see what you are doing for us. thanks for your votes. NPP salutes you",Twitter,12/8/12 18:44,kobbysnr,,,,,,,
These NDC guys be funny papa... u re leading wit da volta and upper/west nd east region results nd u re down dere... http://t.co/nwrjHIGt,Twitter,12/8/12 18:56,jeffboakye,,,,,,,
"This is shocking,tot akufoNanaAkufo-Addo was leading ""@ghanaelections: Update on Prez results: NDC - 50.63%, NPP - 47.85%. Source: #ghanaelections""",Twitter,12/8/12 18:57,mofesola_,,,,,,,
"==============================&gt; ""@ghanaelections: Update on Prez results: NDC - 50.63%, NPP - 47.85%. Source: Myjoyonline #ghanaelections""",Twitter,12/8/12 19:01,Mr_Awesomest,,,,,,,
"The #NDC are causung confusion here in #Ablekuma Central @ the police church in ma barracks,They still want a recount even when dey hav lost",Twitter,12/8/12 19:03,walisky20,,,,,,,Y
"@ghanaelections: Update on Prez results: NDC - 50.63%, NPP - 47.85%. Source: Myjoyonline #ghanaelections",Twitter,12/8/12 19:03,AtoKwamina35,,,,,,,
"""@ghanaelections: Update on Prez results: NDC - 50.63%, NPP - 47.85%. Source: Myjoyonline #ghanaelections"":-)@GHANANPP it's all over",Twitter,12/8/12 19:03,normanpedley,,,,,,,
@eksmiff Mlle. Nyaniba Smith thy art listening to elections results online #ghanadecides,Twitter,12/8/12 19:04,leolob29,,,,,,,
"Prof. Greenstreet hopes CODEO will have all the results, especially the Presidential results,by midnight #ghanaelections",Twitter,12/8/12 19:09,liberiaelection,,,,,,,
"Obasanjo, head of ECOWAS Observer Mission addressing press.
â€œElections are human operations. Some things might not go according to plan. This election was no exception.â€ â€“ Obasanjo
ECOWAS Observer Mission notes delays caused by delivery/non-delivery of electoral materials & biometric machine malfunction.

No sense of foul play concerning decision to adjourn voting to 2nd day â€“ ECOWAS Observer Mission

â€ Yes there were hiccups, but these hiccups were not such that they will grossly undermine the results of the missionâ€ â€“ Obasanjo

â€œDespite the challenges the ECOWAS recognises the advantages of the Biometric systemâ€


â€œObviously, issue of breakdown of biometric verification machines is now known. EC made efforts to resolve it.â€ â€“ Obasanjo

Many field personnel didnâ€™t know/act on fact that biometric machine batteries needed changing every 5 hours. â€“ Obasanjo

The ECOWAS Observer says the alphabetical order in voting created problem. The Electoral Commission to better the system

EC provided necessary conditions for free and fair elections to transpire, despite logistical issues â€“ ECOWAS Observer Mission

Inter-party Advisory Committee: ECOWAS recommends that the body should be made into a statutory body.

The election was free, fair and transparent, and should continue as such.  - ECOWAS Observer Mission


The mission congratulates Ghanaian electorate for their courage, patience, determination & commitment in view of challenges.",Ghana Decides Facebook,12/8/12 19:09,Ghana Decides,,,,,,,
"RT @walisky20: The #NDC are causung confusion here in #Ablekuma Central @ the police church in ma barracks,They still want a recount eve ...",Twitter,12/8/12 19:20,Adomstar,ignored,Recount suspected at Ablekuma Central Constituency,Re Count,yes,Ablekuma Central Cons,"Francis - 21:18

Samuel Ako
Start time - 09:22pm
Stop time - 10:05pm

No response - Disregarded

",
NDC just lost the TAMALE NORTH and YAGABA KUBORE seats in the northern region.,Twitter,12/8/12 19:18,akwasidelicious,,,,,,,
"So far, the NDC has lost 14 seats in the northern region alone.",Twitter,12/8/12 19:19,akwasidelicious,,,,,,,
For presidential results in 168constituecies NDC-49.83% NPP-48.68% OTHERS- 1.49% source: http://t.co/5JCnjxlx #ghanaelections,Ghana Votes Facebook,12/8/12 19:26,Ghana Votes,,,,,,,
what is keeping the eastern region votes,Twitter,12/8/12 19:30,gloveleslie,,,,,,,
Northern region go handle u for the Ashanti votes .Upper west/east go take care of votes from eastern.The rests are for us.#NDCedey bee keke,Twitter,12/8/12 19:33,Kofibadu1,,,,,,,
There will definitely be a second round of elections #ghanadecides #joy997fm,Twitter,12/8/12 19:36,C_NotesOrNothin,,,,,,,
"Eshi!!! ""@ghanaelections: For presidential results in 168constituecies NDC-49.83% NPP-48.68%",Twitter,12/8/12 19:36,naa_klorkor,,,,,,,
Eiii do dey think putting off de lights will help dem steal de ballot boxes....NDC&gt;ECG collabo_____fake GH tell Nana cums...,Twitter,12/8/12 19:46,rimles,,,,,,,
