report,relevant,source,authored_at,author,status,incident_title,incident_category,important,place_name,note
PNC chairman feared dead in rather a fatal accident (unconfirmed) #ghanadecides,Y,Twitter,12/07/12 9:27,mathapoly,ignored,PNC chairman feared dead,Results,yes, Polling Station Number - A080703A,"unconfirmed story. still unconfirmed.
-Pascal confirming details.. needs polling station names
-Kalaga Constituency chairman of pc , car accident on way to polling station to vote. Confirmed dead."
"RT @oh_RICA: He just earned himself a 55-year jail term  ""@opoowazy: A 55yr old man caught for trying to vote twice at a polling station ...",Y,Twitter,12/07/12 9:33,willienoni,ignored,Attempts by man to vote twice,Fraud,,"Adum, Kumasi","Man grabbed after attempting to vote twice at Adum Kumasi, Confirmation not verified. Lost conversation with informant."
"Aint being partisan but sm of these things didn't hpn under NPP's watch. No election material (930am), polling station fires n all....smh!!",Y,Twitter,12/07/12 9:23,myamant,ignored,No election material by 9:30,Election Irregularity,yes,," No election material (930am), polling station fires and all"
"voting materials just arrived but no ink euniseth prep sch, nungua #ghanaelections @ghanasmtc",Y,Twitter,12/07/12 9:32,HenryDonati,ignored,No ink,Delayed Logistics,yes,"Euniseth prep school, nungua",All materials present except ink. Lost conversation with informants.
"@Osam_Sarsah herh, ma guy! Watch your words. No need for fear and panic #ghanadecides #elections",,Twitter,12/07/12 9:14,ClaudeAyitey,,,,,,
"@alha06 Agreed, but to some extent. shldnt become a trend cajoling losing batch #ghanaelections2012 #ghanadecides",,Twitter,12/09/12 20:02,thePOEET,,,,,,
And the winner is ..... (Drum Roll Please) #minorityrights #ghanadecides #vote2012  @ghanaelections @Ghanareporters @ghanaelections  WHO!?,,Twitter,12/09/12 20:10,paulaibbotson,,,,,,
"""@genius_boy_7: Ghana is trending worldwide!! #Peace"" #ghanadecides #ghanaelections #elections",,Twitter,12/07/12 9:23,ClaudeAyitey,,,,,,
"Bhenchen Kyi, 17, set herself on fire in Dokarmo region of Tsekhog, Rebkong, eastern Tibet at around 8 pm (local time). And died. #FreeTibet",,Twitter,12/09/12 20:16,Sonja_Jo,,,,,,
"In other news, there's been an earthquake in Japan. #ghanadecides #ghanaelections http://t.co/dy9MiWOb""",,Twitter,12/07/12 9:25,ClaudeAyitey,,,,,,
Patrick Smith outlines the big questions on #ghanaelections still to be answered as Ghana awaits final results http://t.co/dIC3OzsL,,Twitter,12/09/12 20:17,theafricareport,,,,,,
"@NewsHour I know it's a global phenomenon, but no significant change here in eastern Canada. All within climate normals for the region.",,Twitter,12/09/12 20:18,BruceFraser,,,,,,
Patrick Smith outlines the big questions on #ghanaelections still to be answered as Ghana awaits final results http://t.co/FM7SBBb5,,Twitter,12/09/12 20:22,vincentduhem,,,,,,
I'll actually be surprise if any candidate wins one touch the first round! #ghanadecides #ghanaelections,,Twitter,12/07/12 9:27,ClaudeAyitey,,,,,,
#ElectionNuuz A 55yr old man caught for trying to vote twice at a polling station at Kumasi-Adum,Y,Twitter,12/07/12 9:28,opoowazy,,,,,,
@creamy_hargy @k_asante10. Have a look @ voters map.u'll find NPP won only eastern n ashanti regions.Ring any bellS??!,,Twitter,12/09/12 20:27,Paeson33,,,,,,
"""@opoowazy: A 55yr old man caught for trying to vote twice at a polling station at Kumasi-Adum""",Y,Twitter,12/07/12 9:30,_Ato__,,,,,,
"I respect the #NPP, and I admire them very much but i think the party's story about rigging doesnt add up #ghanaelections2012 #ghanadecides",,Twitter,12/09/12 20:29,thePOEET,,,,,,
Ice water business going on! #ghanadecides #elections #Ghana http://t.co/kdzCyDKS,,Twitter,12/07/12 9:31,80_OH,,,,,,
can #NPP pls identify the party agents at these rigged polling stations for us to ask them few questions? #ghanaelections2012 #ghanadecides,Y,Twitter,12/09/12 20:33,thePOEET,,,,,,
"""@opoowazy: A 55yr old man caught for trying to vote twice at a polling station at Kumasi-Adum""..@kobbydope",Y,Twitter,12/07/12 9:33,lexwealth1,,,,,,
".@rgpeman in action, covering the polls at Dzorwulu Open Space 138 polling station. #ghanadecides #letsvote http://t.co/LSrBCGsn",Y,Twitter,12/07/12 9:33,gamelmag,,,,,,
"He just earned himself a 55-year jail term  ""@opoowazy: A 55yr old man caught for trying to vote twice at a polling station at Kumasi-Adum""",Y,Twitter,12/07/12 9:32,oh_RICA,,,,,,
just casted my vote #ghanadecides #elections #Ghana http://t.co/LBoZJhBd,,Twitter,12/07/12 9:34,80_OH,,,,,,
Best doodles ever: This alone made my day. http://t.co/6mHJBaRY #ghanadecides #ghanaelections #letsvote,,Twitter,12/07/12 9:34,ClaudeAyitey,,,,,,
RT @ghanaelections: The Apostolic 1 polling center at the Ashaiman constituency has been stalled as the verification machine is experien ...,Y,Twitter,12/07/12 9:42,eric_hackman,ignored,Faulty verification machine,Delayed Logistics,yes,"Apostolic 1 polling station, Ashiaman","verification machine is faulty
Final Update: Lost informant to confirm incident. Message is too old to verify."
SMS: Aep we need more security presence Â¡ablekuma north nyamekye pentecost 2 contol de situation #ghanaelections,,Ghana Votes Facebook,12/07/12 9:52,Ghana Votes,resolved,Security presence needed to control situation,Violence,yes,"Ablekuma North, Nyamekye pentecost","More security personnel needed.
police presence arrived"
RT @nii_ayertey: I'm afraid this pollling station(Pentecost Bubiashie Central-okaikoi south) needs more policemen and EC officials. http ...,Y,Twitter,12/07/12 9:40,EdithFaalong,ignored,Polling station needs more policemen and EC officials.,Delayed Logistics,,Pentecost Bubiashie Central-okaikoi south,Final Update: Lost informant to confirm incident. Message is too old to verify.
I'm afraid this pollling station(Pentecost Bubiashie Central-okaikoi south) needs more policemen and EC officials. http://t.co/p4PF6Spb,Y,Twitter,12/07/12 9:35,nii_ayertey,,,,,,
The Apostolic 1 polling center at the Ashaiman constituency has been stalled as the verification machine is experiencing battery failure.,Y,Twitter,12/07/12 9:36,ghanaelections,,,,,,
Look whose on @Africasa --&gt; #ghanadecides http://t.co/X4Mtyt4g #ghanaelections,,Twitter,12/09/12 20:47,IDEGGhana,,,,,,
A special doodle for today's elections in Ghana - get voting! #ghanadecides http://t.co/n0LJ03MO,,Twitter,12/07/12 9:38,googleafrica,,,,,,
Look who's on @AfricasaCountry --&gt; #ghanadecides playlist http://t.co/X4Mtyt4g #ghanaelections,,Twitter,12/09/12 20:49,IDEGGhana,,,,,,
"Just woke up from bed, and tuned in to @Joy997FM #ghanadecides #ghanaelections",,Twitter,12/07/12 9:40,ClaudeAyitey,,,,,,
the qeue is long so they have closed the gate #ghanadecides #ghanaelections@#ghanavotes @okaikwei north http://t.co/k5kja0r0,Y,Twitter,12/07/12 9:40,windowtograce,,,,,,
"Bhenchen Kyi, 17, set herself on fire in Dokarmo region of Tsekhog, Rebkong, eastern Tibet &amp; died on her protest :(",Y,Twitter,12/09/12 20:52,chiw,,,,,,
@konkrumah I'm think you can stream on Youtube for those without MultiTV but may want to see footages. #ghanadecides #ghanaelections,,Twitter,12/07/12 9:42,ClaudeAyitey,,,,,,
Good job 24 year old Sampson Ato Derrick RT @80_OH: just casted my vote #ghanadecides #elections #Ghana http://t.co/2sITlFJn,,Twitter,12/07/12 9:43,chillz_maniac,,,,,,
peaceful ghana elections. results to be announced tonight!,,Twitter,12/09/12 20:58,SueSusanPerez,,,,,,
"""RT @Alex_Binger: NPP TWEETS FLOODING MY TL!!!!!!!!!"" #ghanadecides #ghanaelections",,Twitter,12/07/12 9:45,ClaudeAyitey,,,,,,
pple have started stealing ballot boxes.. Eeeiii ghana,Y,Twitter,12/07/12 9:47,metakay,,,,,,
u done voting ?? @chillz_maniac #ghanadecides #elections #Ghana,,Twitter,12/07/12 9:47,_Guyolla,,,,,,
verification machines not recognising a lot of people #ghanadecides . Clean your hands properly:advise,Y,Twitter,12/07/12 9:48,mathapoly,,,,,,
monitoring the elections live from my base #ghanadecides the electoral process has changed due to the internet,,Twitter,12/07/12 9:48,blacknap,,,,,,
BREAKING: EC has confirmed multimedia's prediction of JohnDramaniMahama winning the 2012 elections - JoyTV #ghanadecides #ghanaelections,,Twitter,12/09/12 21:07,bigxghdotcom,,,,,,
EC says not enough evidence to establish NPP's claims. EC will announce results once it has enough data. @ghanaelections @AfricaJerry,,Twitter,12/09/12 21:07,Ghana125,,,,,,
yep RT @blacknap: monitoring the elections live from my base #ghanadecides the electoral process has changed due to the internet,,Twitter,12/07/12 9:50,chief7walcott,,,,,,
