report,source,authored_at,author,status,incident_title,incident_category,important,place_name,note,relevant
"call the police on 191, for Tigo 0277522288 or MTN n Vodafone 18555 if there is a problem at your polling station #ghanadecides",Twitter,12/7/2012 13:24,bigxghdotcom,,,,,,,
"The presiding EO @ e Tema West Mangoase area, has been accused of telling electorates the candidate he wants them to vote for #ghanadecides",Twitter,12/7/2012 13:25,bigxghdotcom,,,,,,,Y
cos d NPP aint stealin ballot boxes ova there RT @arROW_cEe: BREAKING NEWS: voting in the volta Region is (cont) http://t.co/7FNkYnnG,Twitter,12/7/2012 13:26,qwasiMARIQUE,,,,,,,
BNI arrested an EC official for deliberately messing up the elderly ballot papers in B/A #ghanadecides,Twitter,12/7/2012 13:29,omgGhanaDotCom,ignored,BNI arrest EC official,Fraud,yes,Brong Ahafo,Final Update: Lost informant to confirm incident. Message is too old to verify.,Y
RT @bigxghdotcom: BNI arrested an EC official for deliberately messing up the elderly ballot papers in B/A #ghanadecides,Twitter,12/7/2012 13:31,Enock4seth,ignored, BNI arrested an EC official for deliberately messing up the elderly ballot papers in ,Fraud,,B/A,Final Update: Lost informant to confirm incident. Message is too old to verify.,Y
Under-aged voter arrested at the La Bethany Apostolic polling station. He was wearing EC jacket used by e EC polling officials.#ghanadecides,Twitter,12/7/2012 13:44,Abumubarik,ignored,Under-Aged voter arrested,Fraud,,La Bethany Apostolic ,"He was wearing a jacket reserved for EC officials

Final Update: Lost informant to confirm incident. Message is too old to verify.",Y
"Call the police on 191, for Tigo 0277522288 or MTN n Vodafone 18555 if there is a problem at your polling station #ghanadecides",Twitter,12/7/2012 13:26,blakkElite,,,,,,,
Voters at the Pentecost university polling station have been left stranded due to low battery of verification machine.  #ghanadecides.,Twitter,12/7/2012 13:27,Abumubarik,,,,,,,Y
Have you witnessed any problema with biometric verification machines at polling stations? Tweet us back. #ghanadecides #ghana #elections,Twitter,12/7/2012 13:28,FDAfrica,,,,,,,
No one in the queue now in Ketasco #ghanadecides #ghanaelections #letsvote,Twitter,12/7/2012 13:28,Enock4seth,,,,,,,
Sunyani -bisim .. so far very calm and peaceful no mishaps reported #ghanadecides #ghanaelections,Twitter,12/7/2012 13:30,omgGhanaDotCom,,,,,,,
Ghana can really teach the world what DEMOCRACY is.&gt;&gt;&gt;#ghanadecides #ghanaelections #letsvote,Twitter,12/7/2012 13:32,Enock4seth,,,,,,,
"Will be moving to Ketu South soon,,,,&gt;&gt;&gt;&gt;&gt;#ghanadecides #ghanaelections #letsvote",Twitter,12/7/2012 13:34,Enock4seth,,,,,,,
voting process more than Smoooooooooooooooooooth nationwide #ghanadecides #ghanaelections #letsvote,Twitter,12/7/2012 13:37,Enock4seth,,,,,,,
Lets refrain from any act that will disturb the peace of this country - Prez elect JohnDramaniMahama #ghanadecides # ghanaelections,Twitter,12/9/2012 22:55,mantse_zekeIII,,,,,,,
voting process on the whole is more than Smoooooooooooooooooooth nationwide #ghanadecides #ghanaelections #letsvote,Twitter,12/7/2012 13:39,bigxghdotcom,,,,,,,
#ghanadecides2012 #photography #ghana #elections http://t.co/pPmCaELp,Twitter,12/7/2012 13:39,kwabenad1,,,,,,,
Ballot box snatchers are WARNED...!!!!#ghanadecides #ghanaelections #letsvote,Twitter,12/7/2012 13:42,Enock4seth,,,,,,,
