report,source,authored_at,author,status,incident_title,incident_category,important,place_name,note,relevant
@Pilots_11 lol join the club because the whole eastern region is some shidiggs this year. It's only a few exceptions,Twitter,12/10/2012 5:57,thats_MYYlane,,,,,,,
So #ivoted #ghanadecides #ghanaelections http://t.co/uQZ4v61q,Twitter,12/7/2012 16:31,ClaudeAyitey,,,,,,,
cos of elections i can't get kenkey to buy #ghanadecides,Twitter,12/7/2012 16:41,kwahmi,,,,,,,
verification machine is disenfranchising- northern region chiefs. @ghanaelection #ghanaelections @VoicesOfAfrica @joyonlineghana,Ghana Votes Facebook,12/7/2012 16:41,Ghana Votes,,,,,,,Y
Residents of the eastern US: There is a damgerous storm system moving into our region in the mid-morning hours.,Twitter,12/10/2012 6:16,WxUMD,,,,,,,
"Midday Statement- CPP, 23%; GFP, 2%; NDP, 13%; GCPP, 2%; PNC, 13%; PPP, 36%; UFP, 3%; URP, 1%; were at polling stations #ghanadecides #codeo",Twitter,12/7/2012 16:43,CodeoElections,,,,,,,
Foul! Says opposition after #ghanadecides elections results crown JohnDramaniMahama president http://t.co/SdL8Nx8P,Twitter,12/10/2012 6:22,AfricaPost,,,,,,,
Midday Statement-At 35% of polling stations only NDC and NPP polling agents were present #ghanadecides #codeo,Twitter,12/7/2012 16:44,CodeoElections,,,,,,,
Midday Statement-CODEO PVT Observers reported seeing uniformed security personnel at post at 86% of polling stations #ghanadecides #codeo,Twitter,12/7/2012 16:44,CodeoElections,,,,,,,
"Midday Statement-PVT Observers showedt in 92% of the polling stations, all election materials were available at opening #ghanadecides #codeo",Twitter,12/7/2012 16:47,CodeoElections,,,,,,,
"there are still lots and lots of queues ,meanwhile its sopoz to end at 5pm,,so u can imagine. #rfi #ghanaelections #ghanadecides",Twitter,12/7/2012 16:48,windowtograce,,,,,,,
"@ghanaelections #ghanadecides Rush to your polling station now if you have not voted. If you have, just wait until after 5pm",Twitter,12/7/2012 16:48,eliskobah,,,,,,,
ï˜‚ï˜‚ï˜‚ that is why we are making the NDC steal ballot boxes for us â€œ@Twinsena: The Npp is really Thirsty for powerâ€,Twitter,12/7/2012 16:49,sean_nanaGH,,,,,,,
ah...NPP youth storm the NADMO head office with machete and petrol saying there are some ballot boxes at the place,Twitter,12/7/2012 16:49,EddIE_BlaIQ,,,,,,,Y
RT @omgGhanaDotCom: Glory Assemblies of God. Kpone Katamanso Const. Verification machine broken #ghanadecides,Twitter,12/7/2012 16:54,fille_royale22,ignored,Verification machine,Verification,yes,"Kpone katamanso, Glory assemblies of god polling station",status changed to ignore due to delay in update,Y
Lol RT @spinojix22 eeiiii ghana... u have to use Coke to wash ur fingers before u use the biometric machine,Twitter,12/7/2012 16:58,peedee010,ignored,Police using stunguns to restore order,Police Brutality,,Fadama,"Chaos at Fadama, but police using stun guns to restore order. 
update at 5.27pm says nothing of that sort reported.",
Nobody has been able to vote at #Anyaa for the past 4 hours because verification machines are not working #ghanadecides,Twitter,12/7/2012 16:51,omgGhanaDotCom,,,,,,,Y
"Smh..""@EddIE_BlaIQ: ah...NPP youth storm the NADMO head office with machete and petrol saying there are some ballot boxes at the place""",Twitter,12/7/2012 16:51,AfiaStunna,,,,,,,Y
Glory Assemblies of God. Kpone Katamanso Const. Verification machine broken #ghanadecides,Twitter,12/7/2012 16:52,bigxghdotcom,,,,,,,Y
wouldnâ€™t it be stupid and suicidal if the NPP steals ballot boxes in Ashanti region which is its strong hold? Ballot box thieves go die k3k3,Twitter,12/7/2012 16:52,sean_nanaGH,,,,,,,
"Naah u ready to die for that man ""@sean_nanaGH: Ã­Â Â½Ã­Â¸Â‚Ã­Â Â½Ã­Â¸Â‚Ã­Â Â½Ã­Â¸Â‚ that is why we are making the NDC steal ballot boxes for us Ã¢Â€ÂœTwinsena:",Twitter,12/7/2012 16:52,Twinsena,,,,,,,
Several people lashing at EC over the failure of several verification machines across the country #ghanadecides,Twitter,12/7/2012 16:53,omgGhanaDotCom,,,,,,,
"""lmao. @sean_nanaGH: ï˜‚ï˜‚ï˜‚ that is why we are making the NDC steal ballot boxes for us â€œ@Twinsena: The Npp is really Thirsty for powerâ€""",Twitter,12/7/2012 16:53,I_am_Preciouse,,,,,,,
"Tactile ballots for blind was missing at 6% polling stations, voting screens at 2% and ballot boxes at 1% at 7:30am #codeo #ghanadecides",Twitter,12/7/2012 16:53,CodeoElections,,,,,,,
why on Earth would you think of stealing ballot boxes? Are you a Superman of a sought in Ghana to go away not being spotted? #GhanaDecides,Twitter,12/7/2012 16:54,twitz_ov_Mascot,,,,,,,
Lets than 10minutes and it would be all over at the polling stations #ghanadecides,Twitter,12/7/2012 16:54,NYARS15,,,,,,,
Trying to steal ballot boxes in Kumasi is like trying to steal from Satan. You'll end up being fucked,Twitter,12/7/2012 16:54,Pimp_Fada,,,,,,,
Midday Statement-CODEO Observers indicate that 99% of polling stations had biometric verification machines at setup #codeo #ghanadecides,Twitter,12/7/2012 16:55,CodeoElections,,,,,,,
"LMAO""@Pimp_Fada: Trying to steal ballot boxes in Kumasi is like trying to steal from Satan. You'll end up being fucked""",Twitter,12/7/2012 16:56,luwi_i_am,,,,,,,
30% of the verification of the  biometric voting machines is not working.(Ghana),Twitter,12/7/2012 17:00,JSarkwah,,,,,,,
17:00GMT: What problem did you or are encountering @ your polling station? #ghanadecides,Twitter,12/7/2012 17:01,omgGhanaDotCom,,,,,,,
"Hehe ""@luwi_i_am: LMAO""@Pimp_Fada: Trying to steal ballot boxes in Kumasi is like trying to steal from Satan. You'll end up being fucked""""",Twitter,12/7/2012 17:04,icet88,,,,,,,
I just heard PPP stands for Party Papa Paaa #ghanadecides #ghanaelections,Twitter,12/7/2012 17:03,ClaudeAyitey,,,,,,,
"RT @icet88: Hehe ""@luwi_i_am: LMAO""@Pimp_Fada: Trying to steal ballot boxes in Kumasi is like trying to steal from Satan. You'll end up  ...",Twitter,12/7/2012 17:06,NattyShocks,,,,,,,
"Verification machine fails, hope dey were not made in china. Hmmm @ghanadecides",Twitter,12/7/2012 17:08,encode_1,,,,,,,
"LOL""@icet88: Hehe ""@luwi LMAO""@Pimp Trying to steal ballot boxes in Kumasi is like trying to steal from Satan. You'll end up being fucked",Twitter,12/7/2012 17:06,luwi_i_am,,,,,,,
Is there any information on how many verification machines failed in #ghanadecides ? And were people kept from voting bc of faulty machines?,Twitter,12/7/2012 17:09,mihi_tr,,,,,,,
Why dont npp fans steal ballot boxes in volta and northern,Twitter,12/7/2012 17:04,JEFFF_FREAK,,,,,,,
go try then see. Only in Ashanti region. RT @JEFFF_FREAK: Why dont npp fans steal ballot boxes in volta and northern,Twitter,12/7/2012 17:11,gideonlfc,,,,,,,
"So I finally got there, and guess who got my vote *winks* #ghanadecides #ghanaelections #ivoted #letsvote #ItsAWrap !!! http://t.co/8tFIFY56",Twitter,12/7/2012 17:10,ClaudeAyitey,,,,,,,
Wrap up time at polling stations. #ghanadecides,Twitter,12/7/2012 17:11,silverscholar,,,,,,,
