report,source,authored_at,author,status,incident_title,incident_category,important,place_name,note
EC is giving voters affected by technical issues a chance to vote tomorrow. #ghanadecides,Twitter,12/7/2012 19:03,GanyobiNaa,,,,,,
NPP and NDC are saying NO to that. RT @GanyobiNaa: EC is giving voters affected by technical issues a chance to vote tomorrow. #ghanadecides,Twitter,12/7/2012 19:04,elikplim19,,,,,,
"RT @MizzNyla13: Loving the results that are coming out- we beg let err1 vote continually!this is ghana,thngs would change by tomorrow we ...",Twitter,12/7/2012 19:04,glendycobb,,,,,,
ablekuma south constituency(Hamsted Preparatory skul pollin centre presidential provisional npp-204 ndc-339... http://t.co/aCFtR1z1,Twitter,12/7/2012 19:04,bigxghdotcom,,,,,,
So proud of them! Peaceful elections happening now at #ghanadecides.,Twitter,12/7/2012 19:07,CassieLaurenzo,,,,,,
"When people are stealing ballot boxes, dose labadi beach tattooists are trying to steal indelible ink at the polling stations",Twitter,12/7/2012 19:10,BraRicky,,,,,,
"How would the postponement of the polls impact on the results, and the acceptance thereof? #ghanadecides #Ghana #ghanaelections2012",Twitter,12/7/2012 19:12,thePOEET,,,,,,
Wait for the Volta and northern region votes â€œ@zkross: why is it whenever ndc wins they win by like 20 votes but npp do by 200?â€,Twitter,12/7/2012 19:13,FIAKON,,,,,,
"ese woara RT ""@AfiaDuchess: #NDC guy killed for stealing ballot boxes smh what a #shame!!!""",Twitter,12/7/2012 18:50,srem_sai4,,,,,,
@ClaudeAyitey hmmmmm.....hpe nothing gets changed to cause any confusion.... #ghanadecides #elections2012,Twitter,12/7/2012 18:40,Paapakwame,,,,,,
ablekuma south constituency(Hamsted Preparatory skul pollin centre presidential provisional npp-204 ndc-339... http://t.co/yEaGe4fb,Twitter,12/7/2012 19:15,KwesiArter,,,,,,
What's this about Biometrics system which was supposed to improve the #Ghana elections now problematic as #Ghanadecides? Tech gone south?,Twitter,12/7/2012 18:28,dzifah,,,,,,
â€œ@Paapakwame: EC says those who cld not vote due to faulty machines wld vote tomorrow #ghanadecides #election2012â€ ei,Twitter,12/7/2012 18:20,AshesSwizzle,,,,,,
"ghost names soooo""@FIAKON: Wait for the Volta and northern region votes â€œ@zkross: why is it whenever ndc wins they win by like 20 votes but",Twitter,12/7/2012 19:17,zkross,,,,,,
Breaking News! Voting tomorrow..in areas where the biometric verification machine did not work...,Twitter,12/7/2012 19:18,steve_kyereh,,,,,,
#Ghana election: Breaking News! Voting tomorrow..in areas where the biometric verification machine did not work...,Twitter,12/7/2012 18:18,akwasisarpong,,,,,,
"Nooooooooo!! War pai !!""@Paapakwame: EC says those who cld not vote due to faulty machines wld vote tomorrow #ghanadecides #election2012""",Twitter,12/7/2012 18:29,stefanthth,,,,,,
Its bout to goo down! EC finna declare the results.... NPP OR NDC we don't care.. GHANA first #ghanaelections,Twitter,12/9/2012 18:56,3sterloca,,,,,,
