report,source,authored_at,author,status,incident_title,incident_category,important,place_name,note,relevant
NPP Chair Jake says provisional results announced are tainted.@ghanaelections@GhanaDecides,Twitter,12/9/2012 14:23,Lamisi_d,,,,,,,
NPP calls for proper audit of the election results before official announcement @ghanaelections@GhanaDecides,Twitter,12/9/2012 14:24,Lamisi_d,,,,,,,Y
We call on Ghana to remain calm until proper audit of the results - NPP #ghanaelections,Twitter,12/9/2012 14:25,ghanaelections,,,,,,,
We call on the EC not to release any official results until these serious problems have been addressed - NPP #ghanaelections,Twitter,12/9/2012 14:26,ghanaelections,,,,,,,Y
NPP addresses press confab on election results@ghanaelections @GhanaDecides,Twitter,12/9/2012 14:27,Lamisi_d,,,,,,,
The NPP has credible evidence which undermines the electoral process - NPP Chairman #ghanadecides #ghanaelections,Twitter,12/9/2012 14:28,omgGhanaDotCom,,,,,,,Y
"In Savalungu JohnDramaniMahama  had (21,155 votes), but (31,165) was declared for him - NPP Chairman #ghanadecides #ghanaelections",Twitter,12/9/2012 14:31,omgGhanaDotCom,,,,,,,
What our people will not accept is any attempt by JohnDramaniMahama to manipulate the election results - Sir John  #ghanadecides #ghanaelections,Twitter,12/9/2012 14:33,omgGhanaDotCom,,,,,,,
"In Savalungu JohnDramaniMahama had (21,155 votes), but (31,165) was declared for him - NPP Chairman #ghanadecides #ghanaelections""",Twitter,12/9/2012 14:32,lilbenjy,,,,,,,
"In Savalungu JohnDramaniMahama had (21,155 votes), but (31,165) was declared for him - NPP Chairman #ghanadecides #ghanaelections",Twitter,12/9/2012 14:34,anangfio,,,,,,,
Crabbe says that PVT observers saw that 87% of polling stations were set up according to EC standards #ghanadecides,Twitter,12/9/2012 14:35,CodeoElections,,,,,,,Y
If anything happens in the country it will be blamable on JohnDramaniMahama and the NDC - Sir John  #ghanadecides #ghanaelections,Twitter,12/9/2012 14:34,bigxghdotcom,,,,,,,
JohnDramaniMahama has been conspiring with the EC officials to manipulate election results - NPP Chairman #ghanadecides #ghanaelections,Twitter,12/9/2012 14:35,omgGhanaDotCom,,,,,,,Y
Crabbe says the PVT observers saw security at 85% of polling stations #ghanadecides,Twitter,12/9/2012 14:36,CodeoElections,,,,,,,Y
@DurbanSharks [ANGOP]Luanda -The SADC decided on Saturday to send a Standby Force in the eastern region of DR Co... http://t.co/e1GKWqvk,Twitter,12/9/2012 14:37,AfricaNewsRoom,,,,,,,
"More than 10,000 votes stolen for JohnDramaniMahama at Yendi - NPP Chairman #ghanadecides #ghanaelections",Twitter,12/9/2012 14:37,bigxghdotcom,,,,,,,
"nKwasiafo)  RT @omgGhanaDotCom: More than 10,000 votes stolen for JohnDramaniMahama at Yendi - NPP Chairman #ghanadecides #ghanaelections",Twitter,12/9/2012 14:39,Aqweci,,,,,,,
"""@bigxghdotcom: JohnDramaniMahama has been conspiring wth the EC officials to manipulate election results - NPP Chairman #ghanadecides #ghanaelections""",Twitter,12/9/2012 14:40,CHaSE_BlaQBWoy,,,,,,,Y
Crabbe says that at 83% of polling stations one or more persons with disability were assisted to vote #ghanadecides,Twitter,12/9/2012 14:41,CodeoElections,,,,,,,Y
"Crabbe notes that 49% of polling stations opened by 7:15, while 37% opened between 7:15-8 am. Most problems were in Gr.Accra. #ghanadecides",Twitter,12/9/2012 14:39,CodeoElections,,,,,,,Y
"""@bigxghdotcom: More than 10,000 votes stolen for JohnDramaniMahama at Yendi - NPP Chairman #ghanadecides #ghanaelections""",Twitter,12/9/2012 14:40,CHaSE_BlaQBWoy,,,,,,,
"#ghanadecides #ghanaelections  More than 10,000 votes stolen for JohnDramaniMahama at Yendi - NPP Chairman",Twitter,12/9/2012 14:40,nowghana,,,,,,,
"More than 10,000 votes stolen for JohnDramaniMahama at Yendi - NPP Chairman # ghanadecides #ghanaelections",Twitter,12/9/2012 14:41,jeffboakye,,,,,,,
Crabbe says that 99% of observers agreed with the presidential and parliamentary results #ghanadecides,Twitter,12/9/2012 14:43,CodeoElections,,,,,,,
